E_low[eV],E_high[eV],flux_bin [n·s⁻¹],err_bin [n·s⁻¹],flux_per_energy [n·cm⁻²·s⁻¹/eV],err_per_energy [n·cm⁻²·s⁻¹/eV],flux_per_lethargy [n·cm⁻²·s⁻¹],err_per_lethargy [n·cm⁻²·s⁻¹]
7.83965,7.97008,111493387576.58951,12708992406.665163,854813981266.4961,97439181221.07732,6756959163479.797,770217360575.0454
7.97008,8.13027,122277264734.4701,11756107271.213562,763326454425.8114,73388521575.71399,6144607384139.337,590761199183.6569
8.13027,8.30032,115321668596.37334,11284778665.317812,678163296656.1216,66361532874.553505,5571013148986.652,545150370204.2916
8.30032,8.52407,159776546745.1958,13785791937.600607,714085125118.191,61612477933.410324,6006492072741.967,518250341971.15625
8.52407,8.67369,139446563203.68707,16605002568.891705,932004833603.0381,110981169421.8129,8013894422596.12,954277641677.418
8.67369,8.80038,90553506747.75462,9567894282.290377,714764438769.8685,75522095526.80067,6244757784022.8545,659821849445.0756
8.80038,8.97995,106922253805.80455,10681014097.487934,595434949077.2654,59481060853.63887,5293244975526.235,528769476817.5904
8.97995,9.14031,102347354601.15942,11652390714.11711,638234937647.5436,72663948080.05229,5782265063746.118,658319035190.7324
9.14031,9.50002,261275278736.06808,19126855591.846424,726349778254.8949,53172988217.86005,6768439179952.469,495488740471.0095
9.50002,10.5793,730594989592.347,30951755276.354847,676928127633.5581,28678151430.912117,6786303623822.766,287502668356.38116
10.5793,10.8038,125587613339.25375,11257186311.615646,559410304406.4735,50143368871.339,5980633596618.062,536080787495.89795
10.8038,11.0529,139539151294.08206,12160137343.258562,560173228800.0116,48816288009.87006,6121371511411.086,533446832788.82715
11.0529,11.2694,125743590502.36421,13322759095.323713,580801803706.0706,61536993511.88785,6482111153108.3125,686791310610.3752
11.2694,11.5894,177059660224.9507,14349842115.354097,553311438202.9705,44843256610.481514,6323398057549.771,512481293836.7382
11.5894,11.7094,64887889105.779976,8067349844.3457155,540732409214.8286,67227915369.54707,6299124576411.732,783154489556.4009
11.7094,11.8153,73926215332.58273,13121602892.109161,698075687748.6559,123905598603.48581,8210927367855.185,1457406250438.2065
11.8153,11.9795,67083837572.609276,6503985066.35149,408549558907.48834,39610140477.17126,4860561789955.874,471246464720.1318
11.9795,12.1302,79175962964.91795,9584027051.959827,525387942700.1838,63596728944.656906,6333349115606.848,766634051301.3649
12.1302,12.3086,88823891416.82867,9960455933.27478,497891768031.5512,55832152092.34746,6083776567467.316,682217221533.1144
12.3086,12.4721,79663512070.37526,8844668601.175177,487238605935.0196,54095832423.09006,6036925457111.877,670251708096.7178
12.4721,12.6,64323604990.58986,8816530181.268257,502921071075.7598,68932995944.2395,6304561659218.855,864136239818.9802
